Caption,Date,FileURL,Filename,InstaURL,Title,Latitude,Longitude,Address,Notes
"Former schoolhouse, Mystic. Built in 1850 or earlier. This one-room schoolhouse is hiding in plain sight in downtown Mystic, attached to a home on Gravel Street. I haven’t seen anything about what it was called or where it was originally located, but I’ve read two vague timelines suggesting when it got here. One indicates it was built in 1850 and added on to the main house in the late 1800s. The other indicates it was attached to the main house in 1850, which obviously would mean it had been used as a schoolhouse for some time before that. (I did find that the main house was built in either 1810 or 1818, and a self-guided tour of the area from the Mystic River Historical Society says of the home, “there is purported to be a resident ghost, but she is old and means no harm and gives no trouble.”) Today, the schoolhouse is a 1 bed 1 bath cottage, and visitors can rent it out. Which I’m now vaguely contemplating, even though I live less than 20 minutes away😂 #mysticct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",3/2/20 11:35,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/88300280_194117905207482_6121869795192592083_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=DEuzRZOBzg8AX_-m6c-&oh=1564b314a0d396ec58c2017efd6145d6&oe=5EA36699,88300280_194117905207482_6121869795192592083_n.jpg,instagram.com/p/B9OtLxnJJ2Q,"Former schoolhouse, Mystic",41.3556707,-71.9719837,"9 Gravel St, Mystic CT",confirmed
"Second District School, East Haddam. Built in 1854. It’s now a private home. #easthaddam #easthaddamct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",2/17/20 11:54,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/82837868_2655599851328787_2683949989524521848_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=O-Agzd-nDJ8AX-NTJoT&oh=ee036b6d1cb4c99f052eaa0c2940234d&oe=5E9F7CCA,82837868_2655599851328787_2683949989524521848_n.jpg,instagram.com/p/B8qsMRfJ1l1,"Second District School, East Haddam",41.4577738,-72.4657729,"53 Main St, East Haddam CT",confirmed by photographer
"Center School, Marlborough. Built in 1860. References to a Center School in Marlborough can be found as far back as the 1840s. At that time, the town had five school districts. This was one of the last to stay open; it lasted until 1949, when students were moved to the new Mary Hall School. It’s now a private home. #marlborough #marlboroughct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",1/31/20 17:41,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/83025877_2494350620832312_1309084134303753637_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=WmAb2frOuGsAX9w8jFM&oh=b07ae88ddaa1144c3a62fc9d23cabec7&oe=5EA58C88,83025877_2494350620832312_1309084134303753637_n.jpg,instagram.com/p/B7_iY43JXzn,"Center School, Marlborough",41.6283677,-72.4566892,"39 South Main St, Marlborough CT",confirmed by photographer
"There you have it, my best 9 of 2019! Quite an unexpected selection, I have to say. I’m looking forward to finding the remaining schoolhouses on my list next year. And probably finding out about a bunch more hiding in various places, because that seems to be the way this goes.",12/23/19 21:09,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/80436988_167642657947751_8891576526238939686_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=43fvfNk0E-cAX_dGGvT&oh=ac0943ff2f0b223a11607a6b43aaf258&oe=5EA114BE,80436988_167642657947751_8891576526238939686_n.jpg,instagram.com/p/B6bfNeypL46,"There you have it, my best 9 of 2019! Quite an unexpected selection, I have to say",,,,leave blank
"Here’s something cool! Jack Doherty of Trinity College, along with his software developer Ilya, has created an interactive map of historic Connecticut schoolhouses incorporating my photos from this account. The link to the map is here: https://ontheline.github.io/otl-oldschoolct/#ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",12/2/19 11:34,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/74408599_155995362430246_5778255329034396666_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=-c2nyU8qfHQAX9rGGcy&oh=39ed354eb8a2c55f3d7ed11deb589e84&oe=5EA53BB1,74408599_155995362430246_5778255329034396666_n.jpg,instagram.com/p/B5kYw2ipRwe,"Here’s something cool! Jack Dougherty of Trinity College, along with his software developer Ilya, has created an interactive map of historic Connecticut schoolhouses incorporating my photos from this account",,,,leave blank
"Mill District School, Clinton. Built c. 1882. It has a large modern addition in the back, which is partially visible here. It was previously used for town offices, and is now privately owned. I learned about this one when it was posted recently by @strolling_the_shoreline (thank you for the tip!) #clintonct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",11/4/19 10:47,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/75419809_1994711010632364_455635439041205720_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=100&oh=4e18599d616e5951b19558254e6d1240&oe=5E68CE19,75419809_1994711010632364_455635439041205720_n.jpg,instagram.com/p/B4cNHBlpscH,"Mill District School, Clinton",41.3011637,-72.5227242,"120 Glenwood Road, Clinton CT",confirmed
"Patten District Schoolhouse, Stafford. Built c. 1799. (It does have a door. I just liked this angle better.) #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse #fallinnewengland #fallinct #fallleaves #fallvibes #autumninnewengland #fallfoliage",10/21/19 11:48,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/74612661_473434516591072_303063032401437368_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=104&oh=670cca9532496d820cb782b538f8f3dc&oe=5E884C5B,74612661_473434516591072_303063032401437368_n.jpg,instagram.com/p/B34Q87SJlxR,"Patten District Schoolhouse, Stafford",41.9573806,-72.2851051,"Buckley Highway and Stafford St, Stafford Springs CT",Confirmed - see also  https://www.ctmq.org/364-patten-one-room-schoolhouse-museum/; 
"Hawley School, Newtown. Built in 1921. Another of those later/larger historic school buildings I only stop to photograph when I feel like something about them is very old-fashioned. I mean, would anyone build a school with a cupola these days? #newtown #newtownct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",9/30/19 12:32,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/69737857_2518900775063893_9175851831997679088_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=101&oh=aba632b5b3b9d8916eb3d1408d8e127d&oe=5E75994F,69737857_2518900775063893_9175851831997679088_n.jpg,instagram.com/p/B3CRQIApuQb,"Hawley School, Newtown",41.415632,-73.303957,"29 Church Hill Rd, Newtown, CT","built 1921, still in use"
"Kent District School, Wilton. Built c. 1848. This one is hiding in plain sight amongst the other historic buildings at Lambert Corners. I actually had this photo from years ago, and just forgot to post it here! #wilton #wiltonct 
#ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",9/23/19 9:31,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/68686925_746385189142306_985825524570616422_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=110&oh=9e4b3917cd60e2c7d53a08f4e04b61b0&oe=5E6FEEE4,68686925_746385189142306_985825524570616422_n.jpg,instagram.com/p/B2v7A82pvqi,"Kent District School, Wilton",41.1801039,-73.4156215,"150 Danbury Road, Wilton CT",Moved in 1971 to Lambert Corner on Danbury Road; see http://wiltonhistorical.org/about/preservation/
"Not exactly a schoolhouse, but a recreation of one as an exhibit at the Brooklyn Fair. The one-room Titus School was located in North Sterling. I thought this was fun except I could’ve done without the creepy dolls. I don’t know much about this schoolhouse, but I bet @meganmcgory does! #brooklynct #sterlingct #northsterlingct 
#ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",9/16/19 21:00,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/68955396_1345780648921011_5037355916421975880_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=103&oh=4058d5e03b12ae74d70a01706088c7f2&oe=5E8B692A,68955396_1345780648921011_5037355916421975880_n.jpg,instagram.com/p/B2fIQRlJ_0p,"Titus School (N. Sterling) recreation at Brooklyn Fair, Windham Co Agricultural Society",41.7813228,-71.9512724,"15 Fairgrounds Rd, Brooklyn, CT",Recreation of Titus School at Brooklyn Fair; see http://www.brooklynfair.org/for-everyone/
